OG0009680	GO:0005737,GO:0006457
OG0003743	GO:0003824,GO:0030956,GO:0032543,GO:0005739,GO:0050567,GO:0070681
OG0008852	GO:0071363,GO:0043235,GO:0004674,GO:0004675,GO:0006468,GO:0005886,GO:0016020,GO:0007178,GO:0005524
OG0009045	GO:0008234
OG0010292	GO:0006412,GO:0003735,GO:0005840,GO:0019843
OG0001579	GO:0016020
OG0002336	GO:0007076,GO:0000793,GO:0003682,GO:0000785,GO:0000796
OG0008460	GO:0008061,GO:0005576,GO:0004568,GO:0006032
OG0001690	GO:0005634,GO:0006357
OG0002765	GO:0060287,GO:0005930,GO:0003341,GO:0060285,GO:0036159
OG0000762	GO:0008289
OG0009264	GO:0005737,GO:0005096
OG0006975	GO:0022625,GO:0002181,GO:0003723,GO:0003735,GO:0006412,GO:0005840
OG0006271	GO:0140575
OG0007452	GO:0060147
OG0001021	GO:0005886,GO:0090090
OG0008062	GO:0005869
OG0005995	GO:0007411,GO:0030424,GO:0098632,GO:0070593,GO:0007156,GO:0005886
OG0007904	GO:0008010,GO:0062129
OG0005436	GO:0000398,GO:0071013,GO:0003723
OG0004277	GO:0089701,GO:0000398,GO:0003723
OG0001645	GO:0070390,GO:0005737,GO:0005634,GO:0006406
OG0006767	GO:0008195,GO:0005886,GO:0046839,GO:0016020,GO:0006644,GO:0007165
OG0009666	GO:0008028,GO:0015718
OG0004694	GO:0050803,GO:0035249,GO:0098700,GO:0005313,GO:0005326,GO:0030672,GO:0060076
OG0003839	GO:0036503,GO:0003980,GO:0051082,GO:0005783,GO:0018279,GO:0009101
OG0010255	GO:0016020,GO:0042626,GO:0055085,GO:0005886
OG0000360	GO:0140575
OG0000248	GO:0008045
OG0002422	GO:0016020,GO:0015749,GO:0015149
OG0009603	GO:0005789,GO:0016020
OG0006181	GO:0005634,GO:0017054,GO:0006366,GO:0016251,GO:0001046
OG0006088	GO:0005834,GO:0031681,GO:0007186
OG0006878	GO:0005794,GO:0015012,GO:0047464
OG0005754	GO:0006750,GO:0035226,GO:0035229,GO:0017109,GO:0030234
OG0008281	GO:0005615,GO:0005576,GO:0005125
OG0006261	GO:0006021,GO:0008654,GO:0004512
OG0001031	GO:0005654,GO:0007094,GO:0000776,GO:0005737
OG0004732	GO:0005737
OG0003140	GO:0032504,GO:0005615
OG0002543	GO:0030424,GO:0005886,GO:0043025,GO:0007156,GO:0050808,GO:0008046
OG0003258	GO:0005634,GO:0006334
OG0000325	GO:0016460
OG0009972	GO:0004867
OG0000733	GO:0000398,GO:0071011,GO:0017069,GO:0003729
OG0002189	GO:0016020,GO:0005739,GO:0005737
OG0007036	GO:0000812
OG0005719	GO:0000981,GO:0006357,GO:0005634
OG0007209	GO:0005737,GO:0005654,GO:0051082,GO:0000493
OG0005324	GO:0046475,GO:0047389
OG0006581	GO:0016020,GO:0005886,GO:0030659
OG0008055	GO:0016020
OG0001931	GO:0004252
OG0004491	GO:0005737,GO:0008233,GO:0006508,GO:0030145,GO:0019538,GO:0070006
OG0008244	GO:0051497
OG0007465	GO:0031965
OG0005126	GO:0009790,GO:0005634,GO:0048619,GO:0000981,GO:0006357,GO:0000977,GO:0009880
